Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animal,Model,Strain,Sex,Repro,FoodSched,Type,AL,CV1,Prots1,Carbs1,Fats1,Intake,CI1,Age1,N1,LT25contr,LT50contr,LT75contr,CR,CV2,c_nCR,c_CR,CI2,c_aCR,Prots2,Carbs2,Fats2,Age2,N2,Page,Prots,PD25,PD50,PD75,c_LT25_logHR,c_LT25_varlogHR,c_LT50_logHR,c_LT50_varlogHR,c_LT75_logHR,c_LT75_varlogHR,c_LT2550_logHR,c_LT2550_varlogHR,c_LT5075_logHR,c_LT5075_varlogHR,c_all_logHR,c_all_varlogHR,Notes_control,Notes_treatment
Comp0407,Exp0224,Paper156,Christian,1998,DRUG CHEM TOXICOL,21,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,D,FW,1,411177.3,23.6,64.5,11.9,1,411177.3,60,140,532.98,625.21,700.7,0.8,328370.7,0.8,0.8,328370.7,0.8,23.6,64.5,11.9,60,70,0.101183851,0.236,10.05,21.6,47.62,-0.747,0.107,-0.701,0.053,-0.416,0.033,-0.799,0.099,-0.395,0.076,-0.621,0.031,not sure if full consumption,
Comp0408,Exp0225,Paper156,Christian,1998,DRUG CHEM TOXICOL,21,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,F,0,D,FW,1,329798.4,23.6,64.5,11.9,1,329798.4,60,140,614.96,686.7,,0.8,264124.3,0.8,0.8,264124.3,0.8,23.6,64.5,11.9,60,70,0.088894157,0.236,7.94,20.1,,-0.883,0.111,-0.747,0.054,-1.5,0.043,-0.784,0.098,,,-0.83,0.052,not sure if full consumption,
Comp0413,Exp0230,Paper159,Thurman,1994,TOXICOL PATHOL,22,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,92528.3,22,66.2,11.8,0,,98,49,631.95,720.7,790.28,0.6,55517,0.6,0.6,,,22,66.2,11.8,98,54,0.134255771,0.22,6.7,14.11,22.58,-1.188,0.253,-1.151,0.125,-1.103,0.082,-1.361,0.252,-1.691,0.263,-1.41,0.085,,
Comp0414,Exp0231,Paper159,Thurman,1994,TOXICOL PATHOL,22,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,F,0,D,FW,1,92528.3,22,66.2,11.8,0,,98,49,723.7,809.53,892.43,0.6,55517,0.6,0.6,,,22,66.2,11.8,98,52,0.119264939,0.22,14.11,18.87,36.68,-0.562,0.204,-0.916,0.117,-0.693,0.072,-1.537,0.274,-0.87,0.2,-0.938,0.074,,
Comp0451,Exp0245,Paper165,Yu,1982,J GERONTOL A-BIOL,37,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816.53,23.4,52.4,24.2,1,240816.53,42,115,635.34,685.22,725.19,0.6,145192.31,0.6,0.6,145192.31,0.6,23.7,51.8,24.5,42,115,0.062007264,0.2355,13.38,15.85,17.96,-0.606,0.091,-1.037,0.053,-1.227,0.037,-1.793,0.127,-2.35,0.137,-1.448,0.038,control - group A,group R
Comp0457,Exp0248,Paper168,Masoro,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816.53,23.4,52.4,24.2,1,240816.53,42,40,688.96,744.24,799.57,0.6,145192.31,0.6,0.6,145192.31,0.6,23.7,51.8,24.5,42,40,0.057458684,0.2355,9.17,14.46,21.69,-0.927,0.293,-1.103,0.155,-1.103,0.103,-1.506,0.333,-1.747,0.333,-1.373,0.106,no info on diet - assumed as in Paper165,"B, fed once daily"
Comp0458,Exp0248,Paper168,Masoro,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,240816.53,23.4,52.4,24.2,1,240816.53,42,40,688.96,744.24,799.57,0.6,145192.31,0.6,0.6,145192.31,0.6,23.7,51.8,24.5,42,40,0.057458684,0.2355,11.11,22.28,28.22,-0.769,0.277,-0.767,0.138,-0.906,0.097,-0.941,0.278,-1.748,0.339,-1.114,0.099,no info on diet - assumed as in Paper165,"B2, fed twice daily"
Comp0459,Exp0249,Paper169,Murtagh-Mark,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,279157.79,13.2,65.4,21.4,1,237391.56,122,41,641.59,681.73,726.84,0.6,168170.6,0.6,0.62,148212.72,0.62,13.6,64.4,22,112,42,0.154233512,0.134,9.15,11.62,13.73,-0.933,0.284,-1.255,0.158,-1.393,0.11,-1.869,0.359,-2.464,0.392,-1.668,0.113,control - ad libitum sucrose,restricted sucrose
Comp0460,Exp0250,Paper169,Murtagh-Mark,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,FW,1,262335.67,14,63.2,22.8,1,206827.92,122,41,699.28,756.89,804.49,0.6,158202.48,0.6,0.71,147375.36,0.71,14.5,62.2,23.3,112,42,0.14333317,0.1425,41.9,52.46,54.58,0.504,0.144,0.048,0.094,-0.316,0.075,-0.569,0.276,-1.654,0.359,-0.237,0.075,control - ad libitum starch,restricted starch
Comp0461,Exp0251,Paper170,Yu,1985,J GERONTOL A-BIOL,40,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,CNM,1,240816.53,23.4,52.4,24.2,1,240816.53,42,40,644.14,677.22,721.36,0.6,146523.15,0.61,0.61,146523.15,0.61,24.2,50.8,25,42,40,0.061211998,0.238,5.82,6.88,7.58,-1.245,0.324,-1.516,0.176,-1.633,0.121,-2.091,0.389,-2.743,0.428,-1.955,0.125,control - Group1 diet A,Group2 diet B from 6 weeks
Comp0462,Exp0251,Paper170,Yu,1985,J GERONTOL A-BIOL,40,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,F344,M,0,D,CNM,1,240816.53,23.4,52.4,24.2,1,240816.53,42,40,644.14,677.22,721.36,0.6,146523.15,0.61,0.61,146523.15,0.61,14.5,60.6,24.9,180,40,0.146992611,0.1895,13.23,14.29,16.58,-0.616,0.262,-1.111,0.156,-1.276,0.109,-1.993,0.386,-2.354,0.394,-1.507,0.112,control - Group1 diet A,Group4 diet B from 6 months
Comp0464,Exp0253,Paper172,Zha,2008,AM J NEPHROL,28,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Wistar,M,0,D,FW,1,335111.5,25.4,64.1,10.5,1,335111.5,42,30,749.19,869.45,947.13,0.7,233121,0.7,0.7,233121,0.7,25.4,64.1,10.5,42,30,0.053084594,0.254,13.73,22.89,47.89,-0.582,0.344,-0.744,0.183,-0.441,0.108,-1.072,0.392,-0.447,0.279,-0.667,0.111,control - wt/wt (AL),wt/wt (CR)
Comp0575,Exp0293,Paper190,Ross,1961,J NUTR,75,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,D,CNM,1,502416,28.8,58.5,12.7,1,502416,21,210,7.14,8.2,8.93,,179771.5,0.36,0.36,179771.5,0.36,28.5,60.9,10.6,21,210,0.746268657,0.2865,10.84,20.28,30.77,-0.79,0.053,-0.846,0.027,-0.836,0.018,-1.084,0.056,-1.347,0.057,-1.068,0.018,control - commercial chow Purina,A - HCHS
Comp0576,Exp0293,Paper190,Ross,1961,J NUTR,75,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,1,Sprague-Dawley,M,0,D,CNM,1,502416,28.8,58.5,12.7,1,502416,21,210,7.14,8.2,8.93,,107674.8,0.21,0.21,107674.8,0.21,47.6,34.7,17.7,21,120,0.746268657,0.382,8.04,17.48,26.23,-0.901,0.07,-0.852,0.034,-0.852,0.023,-0.968,0.065,-1.276,0.064,-1.053,0.022,control - commercial chow Purina,B - HCLS
